id,beh,beh_name,switches_beh,beh_seq,macro,sub
1896,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1897,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1898,1,Продукты и маркетплейсы,4,010111111111111111111110,3,0
1899,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1900,0,Базовая корзина малых городов,2,010000000000000000000000,3,1
1901,1,Продукты и маркетплейсы,2,111111111111111111000001,3,0
1902,1,Продукты и маркетплейсы,3,111111111111110110000000,3,0
1903,1,Продукты и маркетплейсы,2,111111111111111110001111,3,0
1904,0,Базовая корзина малых городов,2,000000000000000030000000,3,1
1905,3,Транспортная корзина,2,000000044444444333333333,0,1
1906,3,Транспортная корзина,4,330300000000333333333333,3,1
1907,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1908,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1909,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1910,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1912,0,Базовая корзина малых городов,2,000000000000000000333300,3,1
1915,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1916,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1917,1,Продукты и маркетплейсы,1,000111111111111111111111,3,1
1918,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1919,3,Транспортная корзина,2,000000004444443333333333,0,4
1920,3,Транспортная корзина,4,000333110000033333333333,3,1
1921,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1922,0,Базовая корзина малых городов,1,000000000000003333333333,0,1
1923,1,Продукты и маркетплейсы,9,011110101111111110111101,3,0
1924,1,Продукты и маркетплейсы,2,111111111111133111111111,3,0
1925,1,Продукты и маркетплейсы,2,111111111111111100111111,3,0
1926,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1927,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1928,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1929,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1930,0,Базовая корзина малых городов,5,110000111110000000110000,3,1
1931,0,Базовая корзина малых городов,4,000111111111001000000000,3,1
1932,1,Продукты и маркетплейсы,2,131111111111111111111111,3,0
1933,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1934,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1935,1,Продукты и маркетплейсы,2,111111111111011111111111,3,0
1936,0,Базовая корзина малых городов,3,000300000000003333333333,3,1
1937,1,Продукты и маркетплейсы,3,000001111000001111111111,3,0
1938,1,Продукты и маркетплейсы,1,211111111111111111111111,3,0
1939,0,Базовая корзина малых городов,2,000000000000000000111000,3,1
1940,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1941,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1942,1,Продукты и маркетплейсы,4,111111111111100011011111,3,0
1943,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1944,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1945,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1947,0,Базовая корзина малых городов,2,000000111100000000000000,3,1
1948,0,Базовая корзина малых городов,4,330113300000000000000000,3,1
1949,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1950,0,Базовая корзина малых городов,3,110011100000000000000000,3,1
1951,1,Продукты и маркетплейсы,6,110000111111100001100011,3,0
1952,4,Общепит и услуги,1,444444444444444443333333,0,4
1954,2,Дорогая корзина без онлайна,5,222222223333220000002000,1,2
1955,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1956,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1957,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1958,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,3
1959,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1960,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1961,4,Общепит и услуги,1,444444444444442222222222,1,3
1962,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,3
1963,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1965,2,Дорогая корзина без онлайна,2,222222333333222222222222,1,2
1966,2,Дорогая корзина без онлайна,1,222222222222222222222233,1,2
1967,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1968,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,3
1969,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,2
1970,2,Дорогая корзина без онлайна,0,222222222222222222222222,1,3
1971,4,Общепит и услуги,0,444444444444444444444444,2,4
1972,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1973,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1974,0,Базовая корзина малых городов,2,000000000004444433333333,0,4
1975,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1976,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1977,4,Общепит и услуги,0,444444444444444444444444,0,4
1978,0,Базовая корзина малых городов,1,000000000000000003333333,0,4
1979,4,Общепит и услуги,0,444444444444444444444444,0,4
1980,0,Базовая корзина малых городов,2,444000000000000000033333,0,4
1981,0,Базовая корзина малых городов,1,000000000000000000000022,0,4
1982,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
