graph,method,K,ami_median,switch_median,switch_max,share_never_switch,SW,CH,AVI,MQ,Q
learned_tgfa_s02,temporal_leiden_w2.0,6,0.6832271983135544,0.1557539682539682,0.2311507936507936,0.2723214285714285,0.0966673708159277,290.43081465995476,0.9138711945573612,5.483227167344168,0.7205293796300015
knn,kefrin_t_affect_fe,7,0.9566951900503794,0.0124007936507936,0.0649801587301587,0.8050595238095238,0.1395380760839223,322.4319258256274,0.5922195709258445,4.145536996480913,0.4508252060366368
knn_minsize,kefrin_t_affect_fe,7,0.9263820966873596,0.025297619047619,0.0997023809523809,0.7048611111111112,0.1647342383239502,365.51771715535943,0.58729700845989,4.111079059219229,0.4144438418031527
knn,kefrin_warm,7,0.8300087325932539,0.0729166666666666,0.1785714285714285,0.4761904761904761,0.1254709424807029,326.38262794153275,0.6825343663405331,4.777740564383731,0.5009310053813992
knn_minsize,kefrin_warm,7,0.8504528184803284,0.0620039682539682,0.0972222222222222,0.6309523809523809,0.1614430788200358,365.52963905243536,0.6086252399654204,4.260376679757943,0.443419436587874
knn_k4,temporal_leiden_w2.0,7,0.8336165729032513,0.0694444444444444,0.0902777777777777,0.4826388888888889,0.0857410420094797,249.31586646578384,0.8866137134390225,6.206295994073158,0.711322150716784
knn_minsize,temporal_leiden_w2.0,7,0.8336165729032513,0.0694444444444444,0.0902777777777777,0.4826388888888889,0.0857410420094797,249.31586646578384,0.8866137134390225,6.206295994073158,0.7113221507167841
learned_tgfa1,temporal_leiden_w2.0,7,0.7544092800313031,0.1155753968253968,0.1636904761904762,0.3283730158730158,0.0871262016122642,244.06838062636768,0.9126569353064088,6.652702072659712,0.7439672354027941
knn,kefrin_t_affect_fe,8,0.9404967890995012,0.0218253968253968,0.0441468253968254,0.7599206349206349,0.1252087449738675,303.1790019330322,0.5996102332556659,4.796881866045327,0.5018417970511945
knn_minsize,kefrin_t_affect_fe,8,0.9318703827825304,0.0248015873015873,0.0575396825396825,0.7271825396825397,0.1606086420899279,338.363374192232,0.5774947202055637,4.6199577616445096,0.4347131026483876
knn,kefrin_warm,8,0.8227545765604536,0.0823412698412698,0.1696428571428571,0.5367063492063492,0.1215031969082218,308.6292797221592,0.6756337813044713,5.40507025043577,0.5400774222627142
knn_minsize,kefrin_warm,8,0.847749083179524,0.0674603174603174,0.0922619047619047,0.6393849206349206,0.1589654740324352,339.599744559753,0.5938935856801278,4.751148685441023,0.456057305649848
