id,name,short,region,mo_type,lat,lon,macro,sub,switches_macro,switches_sub,population,wage,market_access,urban_share,total_2024,total_2023
537,Кытмановский муниципальный район,Кытмановский,Алтайский край,муниципальный район,53.47449545168555,85.3960292887071,3,0,0,2,9548.0,47256.4,223.8,0.0,18901.083333333332,17710.333333333332
538,Локтевский муниципальный район,Локтевский,Алтайский край,муниципальный район,51.052165240908195,81.51768969180853,3,0,0,2,19183.0,45626.7,213.0,0.49705468383464524,20880.916666666668,18543.5
539,Мамонтовский муниципальный район,Мамонтовский,Алтайский край,муниципальный район,52.739327542744675,81.68554104796999,3,0,0,0,17582.0,44020.8,223.6,0.0,19855.666666666668,17774.666666666668
540,Михайловский муниципальный район,Михайловский,Алтайский край,муниципальный район,51.83492947622273,79.66651268867673,3,0,0,0,16349.0,44209.9,220.1,0.15750198788916753,22052.083333333332,19013.5
541,Новичихинский муниципальный район,Новичихинский,Алтайский край,муниципальный район,52.17862874601609,81.38829508580936,3,0,0,0,7406.0,46496.5,219.1,0.0,21040.583333333332,18303.75
542,Зональный муниципальный район,Зональный,Алтайский край,муниципальный район,52.701157314957555,84.92239742302067,3,0,0,4,16341.0,52802.0,222.9,0.0,19635.583333333332,15842.083333333334
543,Павловский муниципальный район,Павловский,Алтайский край,муниципальный район,53.28085446054648,82.99893373340537,3,1,0,0,38447.0,59704.3,228.6,0.0,22419.0,19449.166666666668
544,Панкрушихинский муниципальный район,Панкрушихинский,Алтайский край,муниципальный район,53.80921546825965,80.32490096710342,3,0,0,0,9099.0,48668.0,230.2,0.0,21076.916666666668,18318.583333333332
545,Первомайский муниципальный район,Первомайский,Алтайский край,муниципальный район,53.46920210641918,84.06414476822864,3,1,0,1,53359.0,48236.7,273.7,0.0,23005.333333333332,20009.5
546,Петропавловский муниципальный район,Петропавловский,Алтайский край,муниципальный район,52.0972386206798,84.15515983581082,3,0,0,0,10214.0,52754.2,214.6,0.0,20018.25,18514.75
547,Поспелихинский муниципальный район,Поспелихинский,Алтайский край,муниципальный район,51.87747852080113,81.83451558350504,3,0,0,0,19439.0,47652.8,218.4,0.0,22099.416666666668,19528.083333333332
548,Ребрихинский муниципальный район,Ребрихинский,Алтайский край,муниципальный район,53.03917065065741,82.27240033654546,3,0,0,0,18726.0,42923.1,224.6,0.0,18849.916666666668,16670.833333333332
549,Родинский муниципальный район,Родинский,Алтайский край,муниципальный район,52.489272714348125,80.25757314998259,3,0,0,0,14369.0,45228.2,224.3,0.0,20076.5,17898.916666666668
550,Романовский муниципальный район,Романовский,Алтайский край,муниципальный район,52.60287185078364,81.09959654929634,3,0,0,0,10594.0,45475.4,223.6,0.0,20301.333333333332,17685.083333333332
552,Смоленский муниципальный район,Смоленский,Алтайский край,муниципальный район,52.15020619697504,84.90541213244619,3,0,0,0,20153.0,49164.1,219.6,0.0,22898.75,20697.083333333332
553,муниципальный округ Суетский район,Суетский,Алтайский край,муниципальный округ,53.259874654676025,79.95644516990737,3,0,0,0,3264.0,56623.9,227.2,0.0,22921.333333333332,19472.083333333332
554,Советский муниципальный район,Советский,Алтайский край,муниципальный район,52.241545335862575,85.55163049455375,3,0,0,3,13572.0,52884.7,217.7,0.0,24683.666666666668,19362.333333333332
555,Солонешенский муниципальный район,Солонешенский,Алтайский край,муниципальный район,51.640302163886346,84.38312395916152,3,0,0,0,7152.0,39451.3,211.1,0.0,21445.5,19450.083333333332
556,Солтонский муниципальный район,Солтонский,Алтайский край,муниципальный район,52.78816855638003,86.58195457073727,3,0,0,0,6045.0,39208.8,212.8,0.0,17341.25,14857.75
557,Шелаболихинский муниципальный район,Шелаболихинский,Алтайский край,муниципальный район,53.48427821100736,82.3285748570202,3,0,0,0,10246.0,46182.8,226.9,0.0,19953.916666666668,17914.583333333332
558,Табунский муниципальный район,Табунский,Алтайский край,муниципальный район,52.84729391793881,78.96275701368339,3,0,0,0,7060.0,42544.1,226.9,0.0,22572.583333333332,19694.833333333332
559,Тальменский муниципальный район,Тальменский,Алтайский край,муниципальный район,53.78951626187634,83.41727156779906,3,1,0,0,42346.0,51789.1,234.5,0.4227790110045813,22581.833333333332,19797.166666666668
560,Тогульский муниципальный район,Тогульский,Алтайский край,муниципальный район,53.49455239934561,86.07616409976787,3,0,0,0,6187.0,47637.9,221.3,0.0,20023.416666666668,17609.333333333332
561,Топчихинский муниципальный район,Топчихинский,Алтайский край,муниципальный район,52.751307006131086,83.22071785365372,3,0,0,2,18142.0,49388.8,222.7,0.0,21197.083333333332,18396.333333333332
562,Третьяковский муниципальный район,Третьяковский,Алтайский край,муниципальный район,50.91612772452814,82.2489957446596,3,0,0,0,10094.0,43012.0,212.5,0.0,21525.166666666668,18895.5
563,Троицкий муниципальный район,Троицкий,Алтайский край,муниципальный район,52.90844218528768,84.59050512700692,3,0,0,0,17787.0,46816.2,225.7,0.0,19792.75,17953.25
564,Тюменцевский муниципальный район,Тюменцевский,Алтайский край,муниципальный район,53.24723179728113,81.51970332521334,3,0,0,0,10801.0,40369.9,226.4,0.0,20814.25,18245.75
